Country,Fiscal Year,Population,Annual Growth Rate,Rate of Natural Increase,Population Density,Crude Birth Rate,Net Migration Rate,"Net International Migrants, Both Sexes"
Papua New Guinea,2005,6197855,2.62,2.62,13.7,32.8,0.0,0.0
Paraguay,2005,5922921,1.62,1.63,14.9,20.9,-0.1,0.0
Peru,2005,27927745,1.41,1.8,21.8,23.3,-3.9,-110139.0
Philippines,2005,85346265,2.05,2.22,286.2,27.6,-1.7,-145777.0
Poland,2005,38556604,-0.04,-0.01,126.7,9.5,-0.3,-10741.0
Portugal,2005,10576759,0.16,0.02,115.6,10.3,1.5,15381.0
Puerto Rico,2005,3821525,0.0,0.0,430.9,0.0,0.0,0.0
Qatar,2005,972560,15.13,1.2,83.9,13.8,139.3,135435.0
Romania,2005,21405705,-0.78,-0.19,93.1,10.3,-5.9,-126079.0
Russia,2005,144285722,-0.47,-0.59,8.8,10.1,1.1,164051.0
Rwanda,2005,8842457,1.77,2.93,358.5,39.6,-11.6,-102514.0
Saint Barthelemy,2005,7580,0.11,0.77,303.2,13.1,-6.6,0.0
"Saint Helena, Ascension, and Tristan da Cunha",2005,7484,0.62,0.62,19.0,12.4,0.0,0.0
Saint Kitts and Nevis,2005,47902,0.83,0.7,183.5,14.0,1.3,0.0
Saint Lucia,2005,157313,0.44,0.92,259.6,16.0,-4.9,0.0
Saint Martin,2005,27893,1.84,1.37,516.5,17.4,4.7,0.0
Saint Pierre and Miquelon,2005,6224,-0.72,0.24,25.7,9.6,-9.6,0.0
Saint Vincent and the Grenadines,2005,106037,-0.39,0.97,272.6,16.8,-13.6,-1442.0
Samoa,2005,184491,0.94,2.29,65.4,28.5,-13.5,-2488.0
San Marino,2005,29605,1.1,0.22,485.3,9.6,8.8,0.0
Sao Tome and Principe,2005,157493,2.27,3.33,163.4,43.2,-10.6,-1674.0
Saudi Arabia,2005,23640681,1.66,1.84,11.0,21.8,-1.8,-43466.0
Senegal,2005,10871798,2.94,3.18,56.5,40.5,-2.4,-26121.0
Serbia,2005,7424559,-0.56,-0.47,95.8,9.7,-0.9,-7000.0
Seychelles,2005,83822,1.02,0.91,184.2,16.9,1.1,0.0
Sierra Leone,2005,5271649,2.98,2.41,73.6,42.1,5.8,30305.0
Singapore,2005,4775791,2.08,0.84,0.0,11.8,12.4,59011.0
Sint Maarten,2005,33674,2.58,0.92,990.4,13.1,16.5,0.0
Slovakia,2005,5407669,0.03,0.02,112.4,10.1,0.1,0.0
Slovenia,2005,2020477,0.29,-0.03,100.3,9.0,3.2,6436.0
Solomon Islands,2005,493138,2.51,2.73,17.6,31.7,-2.2,-1087.0
Somalia,2005,10890865,2.87,3.52,17.4,50.5,-6.4,-70172.0
South Africa,2005,48329037,1.36,0.98,39.8,20.6,3.8,183656.0
South Sudan,2005,7778720,0.0,0.0,12.1,0.0,0.0,0.0
Spain,2005,43704367,1.64,0.18,87.6,10.7,14.6,636052.0
Sri Lanka,2005,19896696,1.04,1.3,307.9,18.9,-2.6,-51124.0
Sudan,2005,30963544,0.0,0.0,16.6,0.0,0.0,0.0
Suriname,2005,493898,1.24,1.28,3.2,19.6,-0.4,0.0
Sweden,2005,9082560,0.41,0.11,22.1,11.2,3.0,27111.0
Switzerland,2005,7457354,0.57,0.16,186.4,9.8,4.2,30932.0
Syria,2005,18567721,2.65,2.58,99.9,29.5,0.7,13421.0
Taiwan,2005,22727093,0.33,0.26,704.5,9.0,0.7,15380.0
Tajikistan,2005,6726505,1.9,2.04,47.5,27.5,-1.4,-9350.0
Tanzania,2005,38262477,2.73,2.87,43.2,40.1,-1.4,-51667.0
Thailand,2005,63982612,0.85,0.68,125.2,13.5,1.7,105385.0
Timor-Leste,2005,961731,2.29,2.84,64.7,38.2,-5.4,-5234.0
Togo,2005,5400230,1.82,3.01,99.3,38.4,-11.9,-64285.0
Tonga,2005,103264,0.57,2.41,144.0,29.0,-18.4,-1900.0
Trinidad and Tobago,2005,1288767,0.41,0.56,251.3,13.4,-1.6,-1996.0
Tunisia,2005,10029805,0.89,1.11,64.6,17.1,-2.1,-21447.0
Turkey,2005,70460823,1.24,1.42,91.6,20.1,-1.8,-128139.0
Turkmenistan,2005,4664154,1.2,1.38,9.9,20.3,-1.8,-8262.0
Turks and Caicos Islands,2005,27588,10.22,1.76,29.1,20.0,84.6,2333.0
Tuvalu,2005,10171,0.54,1.27,391.2,22.8,-7.3,0.0
Uganda,2005,27031475,2.8,3.8,137.1,49.8,-10.0,-269594.0
Ukraine,2005,47002642,-0.75,-0.76,81.1,9.1,0.1,4583.0
United Arab Emirates,2005,3935820,2.83,1.46,47.1,16.2,13.7,53984.0
United Kingdom,2005,60487346,0.57,0.23,250.0,12.0,3.4,204999.0
United States,2005,295516599,0.0,0.0,32.3,0.0,0.0,0.0
Uruguay,2005,3306387,0.2,0.45,18.9,14.3,-2.5,-8191.0
Uzbekistan,2005,26600738,1.11,1.48,62.5,20.1,-3.7,-97812.0
Vanuatu,2005,217750,2.5,2.68,17.9,31.9,-1.8,0.0
Venezuela,2005,26349605,1.6,1.77,29.9,22.7,-1.7,-44258.0
Vietnam,2005,84920497,1.29,1.33,273.9,18.8,-0.4,-36000.0
"Virgin Islands, British",2005,25846,3.03,0.66,171.2,11.0,23.7,0.0
"Virgin Islands, U.S.",2005,108453,-0.02,0.87,311.6,14.8,-8.8,0.0
Wallis and Futuna,2005,15097,0.37,1.05,106.3,14.8,-6.8,0.0
West Bank,2005,2172351,2.12,2.68,385.2,30.9,-5.7,-12271.0
Yemen,2005,21019116,2.66,3.13,39.8,39.1,-4.7,-98728.0
Zambia,2005,11721238,2.98,3.13,15.8,44.4,-1.6,-18262.0
Zimbabwe,2005,13165551,-0.24,1.81,34.0,33.9,-20.5,-269458.0
Afghanistan,2006,30043015,3.59,3.4,46.1,43.3,2.0,58630.0
Albania,2006,2964809,-1.16,0.58,108.2,11.6,-17.5,-51731.0
Algeria,2006,33420161,1.69,1.78,14.0,22.1,-1.0,-32284.0
American Samoa,2006,57131,-0.52,2.06,288.5,25.2,-25.8,-1474.0
Andorra,2006,78294,3.52,0.57,167.3,10.8,29.5,2312.0
Angola,2006,18690691,4.41,3.26,15.0,46.5,11.5,214758.0
Anguilla,2006,13442,2.46,0.88,147.7,13.3,15.8,0.0
Antigua and Barbuda,2006,82339,1.3,1.05,185.9,17.2,2.5,0.0
Argentina,2006,39761782,0.95,1.02,14.5,17.5,-0.6,-25000.0
Armenia,2006,3081103,-0.1,0.5,109.2,13.9,-6.0,-18483.0
Aruba,2006,98461,1.54,0.52,547.0,12.9,10.2,1000.0
Australia,2006,20277945,1.35,0.69,2.6,13.5,6.6,134560.0
Austria,2006,8352180,0.33,0.04,101.3,9.3,2.9,24103.0
Azerbaijan,2006,8922364,1.11,1.11,108.0,18.3,0.0,0.0
"Bahamas, The",2006,323714,1.89,0.9,32.3,14.3,10.0,3222.0
Bahrain,2006,984394,6.98,1.28,0.0,15.4,57.0,56153.0
Bangladesh,2006,140316899,1.23,1.72,0.0,22.6,-4.9,-690350.0
Barbados,2006,283962,0.52,0.55,660.4,13.0,-0.3,0.0
Belarus,2006,9763711,-0.37,-0.43,48.1,9.9,0.6,5626.0
Belgium,2006,10535514,0.67,0.2,348.0,11.6,4.7,49538.0
Belize,2006,294904,2.43,2.02,12.9,24.7,4.0,1192.0
Benin,2006,8088414,2.89,3.07,73.1,41.8,-1.9,-15119.0
Bermuda,2006,66530,0.74,0.51,0.0,12.0,2.4,0.0
Bhutan,2006,719693,1.43,1.43,18.7,22.1,0.0,0.0
Bolivia,2006,9268469,2.04,2.16,8.6,28.4,-1.3,-11540.0
Bosnia and Herzegovina,2006,3894410,-0.04,0.02,76.1,8.7,-0.6,-2366.0
Botswana,2006,1845723,1.76,1.42,3.3,27.5,3.4,6246.0
Brazil,2006,190173706,1.1,1.11,22.8,17.5,0.0,-4422.0
Brunei,2006,367712,1.82,1.54,69.8,18.7,2.8,1044.0
Bulgaria,2006,7558418,-0.67,-0.52,69.7,9.8,-1.5,-11257.0
Burkina Faso,2006,13947108,2.75,3.28,50.9,45.1,-5.3,-73214.0
Burma,2006,49739030,0.96,1.29,76.1,21.6,-3.4,-167152.0
Burundi,2006,7708418,3.55,3.36,300.2,43.6,1.9,14600.0
Cabo Verde,2006,478254,1.61,1.68,118.6,23.6,-0.7,0.0
Cambodia,2006,13617707,1.23,2.0,77.1,27.3,-7.7,-105022.0
Cameroon,2006,18655414,2.69,2.85,39.5,40.8,-1.5,-28472.0
Canada,2006,32679347,0.95,0.39,3.6,10.9,5.6,182650.0
Cayman Islands,2006,45435,2.58,0.8,172.1,12.7,17.8,0.0
Central African Republic,2006,4395420,1.11,2.09,7.1,38.0,-9.8,-43236.0
Chad,2006,10345994,3.83,3.63,8.2,50.9,2.0,20720.0
Chile,2006,16097384,0.91,0.91,21.6,14.4,0.0,0.0
China,2006,1306046157,0.6,0.61,140.0,12.8,-0.2,-260000.0
Colombia,2006,42894825,0.85,1.34,41.3,18.8,-4.9,-210068.0
Comoros,2006,642791,2.69,3.0,287.6,39.2,-3.1,-1975.0
Congo (Brazzaville),2006,3718772,2.86,3.04,10.9,37.7,-1.8,-6500.0
Congo (Kinshasa),2006,63647861,3.25,3.19,28.1,44.1,0.7,42700.0
Cook Islands,2006,13100,-3.44,1.11,55.5,17.7,-45.5,0.0
Costa Rica,2006,4266256,1.37,1.24,83.6,16.7,1.3,5540.0
Croatia,2006,4440593,-0.04,-0.2,79.3,9.3,1.6,7286.0
Cuba,2006,11258796,-0.04,0.27,102.5,9.9,-3.1,-34981.0
Curaçao,2006,137552,1.1,0.59,309.8,13.9,5.1,0.0
Cyprus,2006,1031032,1.76,0.47,111.6,11.1,12.9,13341.0
Czechia,2006,10300229,0.35,0.01,133.3,10.3,3.4,34720.0
Côte d’Ivoire,2006,19077840,2.79,2.84,60.0,40.2,-0.5,-9857.0
Denmark,2006,5433195,0.36,0.18,128.0,12.0,1.8,9964.0
Djibouti,2006,678088,2.36,1.96,29.3,28.5,4.0,2726.0
Dominica,2006,72569,0.23,0.78,96.6,15.8,-5.5,0.0
Dominican Republic,2006,8976900,1.36,1.65,185.8,22.9,-2.9,-25653.0
Ecuador,2006,14016781,1.87,2.06,56.4,25.4,-2.0,-27310.0
Egypt,2006,74359424,2.17,2.21,74.7,27.3,-0.4,-29594.0
El Salvador,2006,5929274,-0.03,1.52,286.1,21.3,-15.5,-92000.0
Equatorial Guinea,2006,794798,5.49,2.99,28.3,40.8,25.0,19861.0
Eritrea,2006,4846152,2.74,2.89,48.0,37.7,-1.5,-7338.0
Estonia,2006,1322944,-0.65,-0.18,31.2,11.3,-4.6,-6114.0
Eswatini,2006,1021334,-0.21,1.91,59.4,34.1,-21.2,-21684.0
Ethiopia,2006,73608652,2.67,2.72,67.1,37.4,-0.5,-38385.0
Faroe Islands,2006,48321,0.33,0.5,34.7,13.6,-1.6,0.0
Fiji,2006,843827,0.91,1.71,46.2,22.9,-8.0,-6720.0
Finland,2006,5257972,0.4,0.21,17.3,11.2,2.0,10344.0
France,2006,63486989,0.67,0.49,99.1,13.2,1.8,113865.0
French Polynesia,2006,256803,1.23,1.34,67.1,17.9,-1.1,0.0
Gabon,2006,1407901,3.46,2.2,5.5,31.5,12.6,17800.0
"Gambia, The",2006,1552615,2.87,3.31,153.4,41.3,-4.3,-6702.0
Gaza Strip,2006,1341475,2.74,3.83,0.0,42.3,-11.0,-14707.0
Georgia,2006,4830793,-0.07,0.18,69.3,11.1,-2.5,-12100.0
Germany,2006,82346364,-0.15,-0.22,236.2,8.2,0.7,57985.0
Ghana,2006,22201009,2.58,2.45,97.6,34.0,1.4,30061.0
Gibraltar,2006,28468,0.1,0.44,0.0,12.4,-3.4,0.0
Greece,2006,10985750,-0.01,0.06,84.1,10.2,-0.7,-8150.0
Greenland,2006,57637,-0.45,0.67,0.0,15.2,-11.2,0.0
Grenada,2006,105198,0.66,1.07,305.8,18.1,-4.1,0.0
Guam,2006,160298,0.51,1.66,294.7,21.2,-11.6,-1853.0
Guatemala,2006,13007251,2.29,2.45,121.4,30.3,-1.6,-21172.0
Guernsey,2006,63432,0.46,0.16,813.2,9.8,3.0,0.0
Guinea,2006,8649520,2.26,2.63,35.2,38.9,-3.7,-31998.0
Guinea-Bissau,2006,1379367,2.35,2.87,49.1,41.7,-5.3,-7293.0
Guyana,2006,787694,-0.8,1.37,4.0,20.1,-21.7,-17111.0
Haiti,2006,9216487,1.65,1.97,334.4,29.4,-3.2,-29859.0
Honduras,2006,7359035,2.22,2.37,65.8,28.9,-1.4,-10632.0
Hong Kong,2006,6955186,0.73,0.25,0.0,8.4,4.8,33420.0
Hungary,2006,10045849,-0.1,-0.32,112.1,9.9,2.2,21730.0
Iceland,2006,303734,2.56,0.83,3.0,14.5,17.3,5255.0
India,2006,1155507369,1.46,1.5,388.6,22.7,-0.4,-494647.0
Indonesia,2006,233666879,1.38,1.51,129.0,21.5,-1.3,-296700.0
Iran,2006,71306684,1.25,1.3,46.6,18.4,-0.5,-37677.0
Iraq,2006,26813519,-1.71,2.79,61.3,34.5,-45.0,-1207020.0
Ireland,2006,4309027,2.59,0.86,62.6,15.2,17.4,74814.0
Isle of Man,2006,80472,1.1,0.17,140.7,11.3,9.3,0.0
Israel,2006,6864520,1.83,1.57,319.3,20.9,2.6,17807.0
Italy,2006,59272879,0.38,0.0,201.5,9.5,3.8,222410.0
Jamaica,2006,2852242,-0.05,1.29,263.3,20.0,-13.3,-38043.0
Japan,2006,127740790,0.06,0.06,350.5,9.0,0.0,1221.0
Jersey,2006,89245,1.11,0.21,769.4,10.6,9.0,0.0
Jordan,2006,5868448,13.92,2.51,66.1,29.2,114.1,669595.0
Kazakhstan,2006,16279403,1.09,0.89,6.0,18.8,2.0,33042.0
Kenya,2006,35177348,3.08,3.26,61.8,40.1,-1.9,-65413.0
Kiribati,2006,94267,1.53,1.83,116.2,26.3,-3.0,0.0
"Korea, North",2006,23813559,0.6,0.59,197.8,15.3,0.1,3178.0
"Korea, South",2006,48657443,0.52,0.42,502.0,9.2,1.0,47640.0
Kosovo,2006,1776648,0.46,1.21,163.2,19.1,-7.5,-13242.0
Kuwait,2006,2316845,2.58,2.05,130.0,22.8,5.3,12182.0
Kyrgyzstan,2006,5212761,0.98,1.58,27.2,23.3,-6.0,-31003.0
Laos,2006,5931832,1.71,2.01,25.7,28.9,-3.0,-17750.0
Latvia,2006,2238543,-0.85,-0.46,36.0,10.2,-3.9,-8807.0
Lebanon,2006,4703319,2.16,1.63,459.8,21.1,5.4,25235.0
Lesotho,2006,1932268,0.27,1.23,63.7,31.0,-9.6,-18537.0
Liberia,2006,3222473,5.34,3.02,33.5,42.4,23.2,74749.0
Libya,2006,5777140,2.1,2.04,3.3,24.8,0.6,3357.0
Liechtenstein,2006,35164,0.75,0.4,219.8,10.3,3.5,0.0
Lithuania,2006,3271017,-1.28,-0.47,52.2,9.1,-8.1,-26595.0
Luxembourg,2006,474942,1.5,0.37,183.7,11.6,11.3,5351.0
Macau,2006,499427,5.83,0.5,0.0,8.1,53.3,26608.0
Madagascar,2006,18614838,2.83,2.83,32.0,36.3,0.0,0.0
Malawi,2006,13183557,3.25,3.44,140.1,42.8,-1.9,-25148.0
Malaysia,2006,26819653,2.07,1.31,81.6,17.3,7.7,205235.0
Maldives,2006,348136,3.81,1.21,0.0,15.9,26.0,9057.0
Mali,2006,12834556,2.98,3.44,10.5,48.0,-4.5,-58241.0
Malta,2006,407973,0.15,0.14,0.0,9.3,0.1,0.0
Marshall Islands,2006,60409,2.24,2.82,333.8,33.0,-5.8,0.0
Mauritania,2006,2948358,2.61,3.26,2.9,40.4,-6.5,-19039.0
Mauritius,2006,1252892,0.69,0.71,617.2,13.8,-0.2,0.0
Mexico,2006,107916378,1.27,1.62,55.5,21.3,-3.6,-385130.0
"Micronesia, Federated States of",2006,107940,-0.12,1.99,153.8,24.6,-21.0,-2270.0
Moldova,2006,3953870,-0.28,-0.16,120.2,11.1,-1.2,-4717.0
Monaco,2006,30949,-0.41,0.05,0.0,7.5,-4.5,0.0
Mongolia,2006,2632747,1.22,1.31,1.7,19.6,-1.0,-2500.0
Montenegro,2006,620482,-0.02,0.25,46.1,12.1,-2.7,-1697.0
Montserrat,2006,4625,-29.25,0.04,45.3,10.6,-293.0,-1355.0
Morocco,2006,30681046,1.3,1.54,42.8,22.4,-2.5,-75373.0
Mozambique,2006,20934250,2.17,2.62,26.6,42.9,-4.5,-93701.0
Namibia,2006,2068876,1.27,2.02,2.5,32.1,-7.5,-15466.0
Nauru,2006,9549,-9.92,2.13,454.7,28.0,-120.4,-1150.0
Nepal,2006,25484399,0.92,1.92,177.8,26.5,-10.0,-254551.0
Netherlands,2006,16320438,0.11,0.31,481.5,11.4,-1.9,-31320.0
New Caledonia,2006,236510,1.63,1.32,12.9,17.9,3.2,0.0
New Zealand,2006,4089964,1.05,0.76,15.5,14.5,3.0,12081.0
Nicaragua,2006,5325208,1.45,1.88,44.4,23.6,-4.3,-22686.0
Niger,2006,13410761,3.83,3.96,10.6,55.4,-1.2,-16335.0
Nigeria,2006,148689670,2.81,2.81,163.3,42.2,-0.1,-12200.0
North Macedonia,2006,2061665,0.21,0.19,81.1,11.0,0.2,0.0
Northern Mariana Islands,2006,66233,-3.86,2.05,140.3,23.7,-59.1,-3917.0
Norway,2006,4662367,0.88,0.37,15.3,12.6,5.1,23723.0
Oman,2006,2745973,1.86,1.89,8.9,22.5,-0.4,-1024.0
Pakistan,2006,171905824,2.3,2.56,223.0,33.7,-2.6,-440134.0
Palau,2006,20454,0.64,0.5,44.6,13.0,1.4,0.0
Panama,2006,3260504,1.85,1.66,43.9,21.3,1.9,6100.0
Papua New Guinea,2006,6362103,2.62,2.62,14.0,32.7,0.0,0.0
Paraguay,2006,6017567,1.55,1.56,15.1,20.2,-0.1,0.0
Peru,2006,28321089,1.39,1.79,22.1,23.1,-4.0,-112882.0
Philippines,2006,87078202,1.97,2.19,292.0,27.3,-2.3,-195695.0
Poland,2006,38542453,-0.04,-0.01,126.7,9.5,-0.2,-8355.0
Portugal,2006,10595717,0.19,0.03,115.8,10.0,1.6,17141.0
Puerto Rico,2006,3805408,0.0,0.0,429.1,0.0,0.0,0.0
Qatar,2006,1119975,13.19,1.1,96.7,12.6,120.9,135435.0
Romania,2006,21239780,-0.78,-0.18,92.4,10.3,-5.9,-126079.0
Russia,2006,143701958,-0.34,-0.48,8.8,10.3,1.4,202046.0
Rwanda,2006,9035459,2.54,2.95,366.3,39.2,-4.0,-36545.0
Saint Barthelemy,2006,7573,-0.28,0.7,302.9,12.5,-9.8,0.0
"Saint Helena, Ascension, and Tristan da Cunha",2006,7529,0.57,0.57,19.1,12.1,0.0,0.0
Saint Kitts and Nevis,2006,48277,0.73,0.6,185.0,13.7,1.3,0.0
Saint Lucia,2006,158011,0.45,0.92,260.7,16.1,-4.7,0.0
Saint Martin,2006,28399,1.76,1.37,525.9,17.4,3.9,0.0
Saint Pierre and Miquelon,2006,6177,-0.79,0.18,25.5,9.4,-9.7,0.0
Saint Vincent and the Grenadines,2006,105630,-0.38,0.93,271.5,16.4,-13.2,-1390.0
Samoa,2006,186252,0.96,2.26,66.0,28.2,-13.1,-2432.0
San Marino,2006,29953,1.23,0.26,491.0,10.1,9.7,0.0
Sao Tome and Principe,2006,161085,2.24,3.28,167.1,42.4,-10.4,-1674.0
Saudi Arabia,2006,24290219,3.74,1.73,11.3,20.7,20.1,488142.0
Senegal,2006,11206875,3.13,3.2,58.2,40.3,-0.8,-8421.0
Serbia,2006,7384820,-0.51,-0.43,95.3,9.6,-0.8,-6000.0
Seychelles,2006,84675,1.01,0.9,186.1,16.7,1.1,0.0
Sierra Leone,2006,5416024,2.43,2.44,75.6,41.7,-0.1,0.0
Singapore,2006,4872210,1.92,0.85,0.0,11.9,10.7,52209.0
Sint Maarten,2006,34559,2.61,0.95,0.0,13.3,16.7,0.0
Slovakia,2006,5408938,0.02,0.01,112.4,10.0,0.1,0.0
Slovenia,2006,2026870,0.35,0.04,100.6,9.3,3.1,6267.0
Solomon Islands,2006,505546,2.46,2.68,18.1,31.1,-2.2,-1087.0
Somalia,2006,11185531,2.47,3.57,17.8,50.7,-10.9,-122149.0
South Africa,2006,48973571,1.29,0.94,40.3,20.8,3.6,173718.0
South Sudan,2006,8096955,0.0,0.0,12.6,0.0,0.0,0.0
Spain,2006,44431750,1.67,0.25,89.0,10.9,14.1,628220.0
Sri Lanka,2006,20097062,0.96,1.29,311.0,18.8,-3.3,-66153.0
Sudan,2006,31676138,0.0,0.0,17.0,0.0,0.0,0.0
Suriname,2006,500908,1.58,1.43,3.2,20.8,1.4,0.0
Sweden,2006,9133722,0.72,0.16,22.3,11.6,5.6,50842.0
Switzerland,2006,7507630,0.77,0.17,187.7,9.8,6.0,44751.0
Syria,2006,19402732,6.07,2.55,104.4,29.2,35.2,682989.0
Taiwan,2006,22815797,0.45,0.28,707.2,9.0,1.7,37992.0
Tajikistan,2006,6857078,1.94,2.1,48.5,27.9,-1.6,-10898.0
Tanzania,2006,39321765,2.73,2.9,44.4,39.9,-1.7,-68362.0
Thailand,2006,64501340,0.77,0.65,126.3,13.2,1.2,78013.0
Timor-Leste,2006,984056,2.3,2.83,66.2,37.9,-5.3,-5234.0
Togo,2006,5532242,3.0,3.02,101.7,38.4,-0.2,-1183.0
Tonga,2006,103845,0.55,2.38,144.8,28.7,-18.3,-1900.0
Trinidad and Tobago,2006,1294420,0.47,0.62,252.4,14.0,-1.5,-1996.0
Tunisia,2006,10120017,0.9,1.11,65.1,17.1,-2.1,-21447.0
Turkey,2006,71328326,1.21,1.39,92.7,19.7,-1.8,-128137.0
Turkmenistan,2006,4719453,1.16,1.36,10.0,20.0,-2.0,-9620.0
Turks and Caicos Islands,2006,30579,10.35,1.63,32.3,19.4,87.2,2666.0
Tuvalu,2006,10227,0.55,1.27,393.3,22.8,-7.2,0.0
Uganda,2006,27818685,2.94,3.83,141.1,49.4,-8.9,-248831.0
Ukraine,2006,46685257,-0.61,-0.64,80.6,9.9,0.3,14245.0
United Arab Emirates,2006,4458540,20.95,1.35,53.3,15.0,196.0,873958.0
United Kingdom,2006,60846808,0.62,0.29,251.5,12.3,3.3,198001.0
United States,2006,298379912,0.0,0.0,32.6,0.0,0.0,0.0
Uruguay,2006,3309638,0.0,0.49,18.9,14.3,-4.9,-16314.0
Uzbekistan,2006,26926013,1.32,1.55,63.3,20.7,-2.3,-60906.0
Vanuatu,2006,223196,2.44,2.62,18.3,31.1,-1.8,0.0
Venezuela,2006,26772897,1.59,1.74,30.4,22.4,-1.6,-41675.0
Vietnam,2006,86014941,1.28,1.32,277.4,18.7,-0.4,-36000.0
"Virgin Islands, British",2006,26655,3.13,0.54,176.5,9.8,25.9,0.0
"Virgin Islands, U.S.",2006,108369,-0.14,0.75,311.4,13.2,-8.8,0.0
Wallis and Futuna,2006,15147,0.29,0.94,106.7,14.5,-6.5,0.0
West Bank,2006,2218587,2.09,2.65,393.4,30.5,-5.5,-12271.0
Yemen,2006,21583798,2.65,3.11,40.9,38.7,-4.7,-100557.0
Zambia,2006,12073975,2.95,3.24,16.2,44.5,-2.9,-35040.0
Zimbabwe,2006,13146773,-0.05,1.95,34.0,34.6,-20.0,-262488.0
Afghanistan,2007,30632821,0.33,3.42,47.0,43.2,-31.0,-948179.0
Albania,2007,2932578,-1.02,0.64,107.0,11.4,-16.6,-48673.0
Algeria,2007,34002255,1.77,1.87,14.3,23.0,-1.1,-36247.0
American Samoa,2007,56765,-0.76,1.84,286.7,22.8,-26.0,-1474.0
Andorra,2007,80757,2.69,0.54,172.6,10.7,21.5,1734.0
Angola,2007,19536447,4.44,3.31,15.7,46.1,11.3,220298.0
Anguilla,2007,13771,2.38,0.86,151.3,13.1,15.2,0.0
Antigua and Barbuda,2007,83409,1.29,1.04,188.3,17.0,2.5,0.0
Argentina,2007,40134012,0.91,0.96,14.7,17.5,-0.5,-20000.0
Armenia,2007,3078608,-0.07,0.53,109.2,14.2,-6.0,-18483.0
Aruba,2007,99976,1.52,0.52,555.4,12.8,10.0,1000.0
Australia,2007,20610385,1.9,0.72,2.7,13.8,11.8,244030.0
Austria,2007,8379589,0.32,0.02,101.6,9.1,3.0,25470.0
Azerbaijan,2007,9021296,1.1,1.11,109.2,18.2,-0.1,-1100.0
"Bahamas, The",2007,330112,2.02,1.05,33.0,15.8,9.8,3222.0
Bahrain,2007,1053581,6.61,1.32,0.0,15.6,53.0,55789.0
Bangladesh,2007,141908028,1.03,1.67,0.0,22.1,-6.4,-909315.0
Barbados,2007,285423,0.51,0.54,663.8,12.9,-0.3,0.0
Belarus,2007,9733326,-0.25,-0.3,48.0,10.7,0.5,4676.0
Belgium,2007,10610154,0.74,0.22,350.4,11.7,5.2,55364.0
Belize,2007,302054,2.36,1.96,13.2,24.1,4.1,1224.0
Benin,2007,8335067,3.12,3.12,75.3,42.0,0.0,0.0
Bermuda,2007,67014,0.71,0.48,0.0,11.8,2.3,0.0
Bhutan,2007,729890,1.38,1.38,19.0,21.4,0.0,0.0
Bolivia,2007,9457486,2.0,2.12,8.7,27.9,-1.2,-11540.0
Bosnia and Herzegovina,2007,3891845,-0.09,-0.03,76.0,8.7,-0.6,-2366.0
Botswana,2007,1878406,1.75,1.42,3.3,27.0,3.3,6246.0
Brazil,2007,192229032,1.05,1.05,23.0,16.7,0.0,-1622.0
Brunei,2007,374432,1.8,1.52,71.1,18.5,2.8,1044.0
Bulgaria,2007,7509499,-0.63,-0.5,69.2,10.1,-1.3,-9801.0
Burkina Faso,2007,14340736,2.81,3.28,52.4,44.8,-4.7,-67790.0
Burma,2007,50238362,1.04,1.29,76.9,21.5,-2.5,-125188.0
Burundi,2007,7990795,3.65,3.38,311.2,43.5,2.6,21000.0
Cabo Verde,2007,485911,1.57,1.64,120.5,23.1,-0.7,0.0
Cambodia,2007,13789073,1.28,2.04,78.1,27.3,-7.6,-105022.0
Cameroon,2007,19184987,2.9,2.83,40.6,40.3,0.7,13210.0
Canada,2007,33016487,1.11,0.4,3.6,11.1,7.0,232446.0
Cayman Islands,2007,46606,2.51,0.78,176.5,12.6,17.3,0.0
Central African Republic,2007,4451775,1.44,2.12,7.1,37.8,-6.8,-30406.0
Chad,2007,10731434,3.49,3.62,8.5,50.4,-1.3,-13580.0
Chile,2007,16244041,0.91,0.91,21.8,14.8,0.0,0.0
China,2007,1313912400,0.61,0.63,140.9,12.9,-0.2,-248333.0
Colombia,2007,43001603,-0.35,1.3,41.4,18.3,-16.5,-708440.0
Comoros,2007,659992,2.59,2.89,295.3,37.9,-3.0,-1975.0
Congo (Brazzaville),2007,3822950,2.67,3.1,11.2,37.9,-4.3,-16400.0
Congo (Kinshasa),2007,65763574,3.29,3.27,29.0,44.7,0.1,9300.0
Cook Islands,2007,12660,-3.4,1.04,53.6,17.1,-44.3,0.0
Costa Rica,2007,4326277,1.43,1.25,84.7,16.9,1.8,7698.0
Croatia,2007,4437352,-0.11,-0.24,79.3,9.4,1.3,5620.0
Cuba,2007,11253834,-0.05,0.27,102.5,10.0,-3.2,-35979.0
Curaçao,2007,139033,1.05,0.54,313.1,13.5,5.0,0.0
Cyprus,2007,1048911,1.74,0.48,113.5,11.2,12.6,13225.0
Czechia,2007,10365254,0.91,0.1,134.2,11.1,8.1,83945.0
Côte d’Ivoire,2007,19631054,2.93,2.86,61.7,40.0,0.7,13901.0
Denmark,2007,5458200,0.56,0.16,128.6,11.7,4.0,22061.0
Djibouti,2007,693300,2.08,1.9,29.9,27.8,1.8,1256.0
Dominica,2007,72735,0.23,0.77,96.9,15.7,-5.4,0.0
Dominican Republic,2007,9098756,1.34,1.6,188.3,22.4,-2.7,-24240.0
